sentence,hate,category
12431 11321 507 13590 993 8990 7341 7078,0,religion
9604 9604,0,"Meme, TikTok and others"
3670 1156 7483 2177 6216 10707 10178 12322 11687 6991 7667 8195,0,crime
12223 9092 15432 9238,0,sports
14827 741 6632 4244 6006 227 14522 11471 227 15915 612 11471 12855 13718 7247 8393 11857 1661 12718 1770 10995 12428 3416 13047 5900 639 3254 11031 13047 14827 10766 11471 14827 7020 5751 7247 639 5060 5751 6540 639 14343 10617 2230 13933 7652,0,entertainment
4284 8635 2776 14977 3788 6810 1026 13047 3777 2519 2215 13616 4609 15673 4284 14553 6894 6540 6540 11343 2418 14474 3847 3253 15345,0,celebrity
6512 15855 1429 6438,1,sports
5587,0,entertainment
1770 7247 8368 8636 6336 14635 15603 485 7726 12857 9059 5214 10326 6171 2178 13346 1958 7380 7714 3740 15556,0,religion
5069 13047 703 245 13357 11212 13047 1806 10005 13047 703 245 7270 3043 8757 14859 12283 3733 831 10583 6463 13629 9330 3422,1,entertainment
939 12053 1345 3934 2178 13346 12638 12091 10486 9089 12256,1,"Meme, TikTok and others"
5017 3407 461 274 10203 15532 461 11637 7726 10426 15897 461 7726 8845 6119,0,crime
1745 10676 1951 8397 10676 9311 15550 3253 1886 15572 3341 5238 9150 9311 2820 13547 4736 3253 11916 310,0,crime
14066 3559 7713 9362 2936 14303,0,celebrity
11841 6098,0,"Meme, TikTok and others"
2138 15766,0,celebrity
7138 15582 8787 9786 12918 9154,1,politics
14023 13983 8734 13983 1508 6412 14306 11093,0,religion
648 10559 8739 2952 15039 12151 11329 15796 6972 5110,0,politics
11376 6571 4593 12118 8695 4717 12322,1,sports
10178 13192 6393 14086 10178,0,religion
13468 15674 2343,1,"Meme, TikTok and others"
2249 11968 1092 2766 8649 13817 3352,1,entertainment
15161 14261 11860 349 14808 2232 11984 14858 6474 12516 464 12967 9930 9084 15128 8815 338 15600 2946 14699 8702 10967 9503 14675 1257 6843 2074,1,crime
3253 246 3839 9560 9311,0,religion
10226 4114 2113 4857 11150 14173 8757 6216 11728 10062 6964 5791 11212 15744 971 11493,1,entertainment
4566 4183 13047 3107 13534 14069,1,sports
11693 10227 12606 14126 1723 9638 860 15600 6991 967 967,0,politics
14635 4469 1583 13132 3216 5513 658 8242 11687 9150 12774 8242 10861 12774 6425 8795 14287 152 9791 199 11687,1,crime
10325 430 14607 2411,1,politics
14836 7570,0,"Meme, TikTok and others"
1145 2171 4331 324 3741 4677,0,sports
3539 6261 15583 2247 7497,1,politics
11582 461 246 10972 4381 8055 14705 14317 13360 11368 3378 4909 3146 11609 11212,1,entertainment
6529 5202 2204 7420 15314 2500 9414 6376 4030 6187 12746 10462 14306 5295 1269 3294 9998 3843 14215 14215 13047 3621 11541 8457 7205 7474 5252 3843 11343 1770 9150 1696 5632 15926 10486 10486 11791 342 2099 15811 9133 6796 8582 11982 8518 13422 5494 4216,0,celebrity
11376 1924 9098 11925 2500 4832,1,sports
15836 14072 13047 939 2882 11150 1819 11585 15952 12857 14125 11794 15836 8462 11150 10416 12272 9392 549 4316,1,crime
12918 10298 3638 2199 13245 9472 9467 10298 7883 15952 9212 9021 11802 6691,1,"Meme, TikTok and others"
5059 8240 8240 9660 14789 10632,1,crime
1004 4418 13705 15045,0,crime
12830 10621,0,celebrity
9621 11754 10184 11852 12118 15782 13538 9150 5197 14855 12118 15782 2003 2396 13896 7726,1,entertainment
4087 12548 699 4869 1343 15096 5742 7164 699 6495 4869 1343 11794 9310 11206 14709 4454,0,sports
1555 7078 7962 11802 8695 15981,1,religion
11150 13637 631 10559 8143 1502,1,crime
6171 3453 8702 15096,0,crime
11376 3586 1819 2500 9768 2500 9938 8412,1,sports
12102 11626 11636 9117 7520 10026 5718,1,sports
5871 15152 13616 1770 5253 591 13344 1931,0,celebrity
3804 9853 2620 12746 8414 4532,1,religion
6518 5501,1,"Meme, TikTok and others"
872 4210 10125,0,religion
11509 14366,0,"Meme, TikTok and others"
10429 3968 10856 13527 7599 7854 13054 15247 12118 7187 12158,0,religion
8177 2852 12118 11849 13951 13951,1,sports
5460 8633,1,crime
12972,0,sports
14187 5334,0,crime
8264 6158 7868,1,sports
15836 905 11324 1092 14032,1,"Meme, TikTok and others"
13047 10988 7268 11343 12562 15600 11794,0,politics
15721 11874 8288 11150 8675,1,entertainment
8938 7078 4840 10590,0,crime
6841 6736 2500 15064 6028 12397 9674 1547,0,politics
2397 6572 246 3742 2816 12807 835 4806 4495,0,politics
12218 10398 14103 9517 15673 881 8410 134 9992 3340 7755 7617 14192 1988 14575 661 13744 12165 7373 11947 6858 8728 15924 6993 12128 2199 217 11207 3203 881 14572 14349 6130 5792 11784 2128 9112 15165 7247 246 10417 7689 7703 13543 289 13672 9164 4736 704 9347 15165 12361 9015 14930 3978 14718 8240 8249 12807 4482 14859 13672 5467 4736 14982 14710 5530 14939 6253 3611 12119 13093 5864 4736 156 1684 10852 3253 7247 11975 14345 13674 12314 6867 5693 3222 9347 14313 9615 12760 8240 1694 4926 14827 14859 7805 2318 7247 14773 4245 4736 2613 664 4898 7247 1921 3253 11916 15287 10984 14207 15950 3427 10852 3203 881 15673 3322,1,crime
13344 15096 343 1611 12726 15284,0,celebrity
26 14836 1417 4564 3848 1461 324 11607 9150,1,crime
917 3043,1,sports
8557 9574 781,1,celebrity
15929 741 3360 9412,0,sports
7078 10865 1876 15800 6512 1377 13983 2320 1893,1,religion
14490 6054,0,"Meme, TikTok and others"
15875 12069 3509 15924,0,"Meme, TikTok and others"
9674 515 11635 318 8349,1,politics
11529 9449 622 8079 8714 15431 9034,0,"Meme, TikTok and others"
3043 7962 689,1,religion
1653 13504 9723,0,politics
13954 13534 831 10396,1,crime
12918 10557 26,1,religion
11963 1145,1,entertainment
10005 15476 7146 26 6499,1,entertainment
11150 9435 10559 1734 4460 11093,1,"Meme, TikTok and others"
15121 13364 246 246 13099 6540 6158 7962 10784,0,religion
13673 13379 2956 485,0,entertainment
12747 13047 6997 5020 6133 15432 831 9311,0,crime
7078 12521 11458 4388 1069 11044 12118 7835,1,entertainment
11458 13969 11604 4481 10299 10521 12764 667 14098,0,celebrity
10178 10094 15673 3672,0,sports
14699 11791 5208 15153,0,"Meme, TikTok and others"
15937 1069 10073,0,entertainment
1819 8349 12807 3441 3631,0,religion
5262 5284 7667 13463 9813 13933 1192 7333 14405 9032 1926,0,celebrity
430 1429 3871 4635 7138 10648 5302 2126 13575 7528 4725 485 7138 6344 5310,1,crime
4020 13967 3055 7837 9686 7231 13707 7837 5594 7138 5195 6761,1,celebrity
5567 9150 12486,1,religion
1026 15500 6390 15898 5157,0,celebrity
4410 7692 10320 13344 15284 2469 11927 8958 3498 52 8072 5505,0,celebrity
741 6351 6749 4986 11657 7669 13418 13448 13200 831 392 1951 9311 8412 3773 3487,0,entertainment
14925 2357 11017 10428,1,crime
7292 9969 10426 638 11552 8214 9236 6036 5101 1693 11700 9267 9128 4532 7806 7292 4986 4415 8214 3934 5101 11422 12348 9615 631 6966 4852 2822 8214 9236 10426 12928 3085 11093,0,"Meme, TikTok and others"
5899,0,"Meme, TikTok and others"
12436 11458 7231 10379 8259,0,religion
9559 13990 464,1,crime
5845 11874,0,religion
11150 5501 464 4476,1,crime
15836 13637 9108 699,1,"Meme, TikTok and others"
2731 5997 9155 4477 1219 464 15161 15836 12041 1924 6911 10286 3157 15934 2635 8788 10336 2942 12119 10294 1968,1,crime
5613 11150 5370 1819 7138 5501 464,1,"Meme, TikTok and others"
8214 9566,0,"Meme, TikTok and others"
6158 11376 1429 15673 15786 13317,1,sports
4342 12019 12586 7247,0,entertainment
7541 854 3375 11269 3783 5738 10109 4821 295 12750 6540 14077 13312 7894 7787 14981,0,politics
15836 14671 7077 4945 5392 2519,1,religion
13590 9275,0,sports
4066 12807 15103 464 11022,0,entertainment
3712 11693 15804 14291 11106 9479 8858 8145 13186 1790 13903 3849 14396 9092 1790 7700 6422 7899 8145 14320 1790 10620 3849 14396 831 1790 3967 3783 13897 8145 2173 1790 4827 5318 254 13348 1790,0,celebrity
5477 7442 6257 8832 4294 13047 193 14 3567,0,entertainment
4840 8317,0,"Meme, TikTok and others"
8878 14676 1343 1144 13047 892 13047 11985 13016 11699 10932 4339 741 6733 980 2966 6109 8938 14699 5622 1069 7230 7570 14699 10236 7726 1838 1142 1838,0,celebrity
6883 15818 13032 11687,0,crime
8410 9467 6464 4381 4212 6843 8333 3936 15241,1,sports
12918 3383 464,1,crime
967 13937 12857 2500 2512 9888 5460 3942,1,"Meme, TikTok and others"
14077 13312 5577 6540 2638 9301 10038 12237 11458 14355 3625 13312 15252 9049 8997 2561 13312 15252 3228 5187 14265 8331 11458 9357 1000 12237 8057 9473 3167 1394 2517 12966 9069 13932,0,politics
204 10178 2443 245 6416 7078 2953 9345 6524,0,entertainment
13238 7669 10382 10664 2171 4331 1145 8291 3253 9626 13160 6008,0,sports
10168 14859 3087 11693 3934 1653 7956 5270 13047 5569 10486 13504 11729,0,religion
3830 13344 6009 6392 2462,0,celebrity
15836 14072 14724 1181 10416 1092 1143 7209,1,crime
13858 12202 13097 12918 11102,1,"Meme, TikTok and others"
13496 8496,1,politics
14885 11211 11527 15517 1172 3498,0,sports
2246 4527 7078 2246 13623 15096 3777 15533 7570 6936 15096 6351 6540 13133 7231 12492 1970 7564,1,celebrity
3022 2615,1,politics
10443 1819 2207,1,sports
13047 8414 8187,0,entertainment
7570 464,0,"Meme, TikTok and others"
