sentence,hate,category
সমকামী হুজুর,0,religion
ছাএলীগ সালা দের নিসিদ্দ করা হক,1,politics
কাওয়া গদি ছারলে বুজবে জুতা কেমনে খায়,0,politics
কাউয়া কাদের কত বড় মাগীখোর সেই তার ভিডিও ও পিক দেখলে বুঝা যায় লুচ্চা কাদের টা ঘন্টা বেশ্যাদের সাথে থাকে সেই মেয়েদের কোন চরিএ নেই,1,politics
অপু ভালো এ কথা বলে ছোট করবেনা,0,"Meme, TikTok and others"
কবিরা মাগীর হোলা হেড়া হুড়া হাড়াইলামু মাদারচোদ।,1,religion
ধন্যবাদ ভাই এই কুকুরের বাচ্চাকে নিয়ে রোস্ট করার জন্য। লাভ ইউ।,0,religion
বাহ কি বিশাল খবর নিয়া আইছে বাল ছিরা তাল গাছে উঠায়া দিছে সাংবাদিক ভাইয়েরা,1,crime
এই শালা ত পেন্ট এ মুতার বয়স অরে মিম্বর এ বসাইছে কুন মাদারচুদ,1,religion
এক কোটি টাকার ঘড়ির কেন ওবায়দুল কাদেরের হাতে ? এটা জনগনের সম্পদ।,0,politics
কুত্তার বাচ্চা রা মদ খেয়ে লেগেছে,1,religion
কবিতা মাসূদ রানা সে হলো কুকুরের ছানা অফিসে বসাইছে আবালের পনা সালামের উত্তর নাই তাদের জানা অষ্টলীয়ার গাইকে তোঁ সবারী চেনা নাটকে দেখায় ধূদের কনা !!,1,entertainment
সালা ডান্ডি র বাচ্চা তোর বাবা মরছে নিউজ দে।,1,sports
মাদারছদ,1,"Meme, TikTok and others"
অসভ্য অযোগ্য বেয়াদব নেশাখোর পাগল জাজকে যারা গণপিটুনি দিতে পারবে তাদের মধ্যে একজনকে মাসুদ রানা দেওয়া হোক।,1,entertainment
বিচারক খানকির পোলা এদের জন্মের ঠিক নাই,1,entertainment
সালাদের বিচারক কে বানাইছে। হালারা নুচড়া নুচড়ার দল।,1,entertainment
রুমি মেডামের সাথে যে পতিতা লীগ সরকারের হয়ে কথা বলার জন্য আসছে তা তো কোন ভাবেই মানা যায় না কারণ রুমি মেডাম একজন শিক্ষিত ও খ্যাতি অর্জন কারি নারী । আর এই পতিতা তো রুমি মেডামের বাড়িতে কাজের মেয়ে হিসেবে ও মানায় না কি বলেন বাংলাদেশের জনগণ ?,1,politics
একে জুতা মারো তালে তালে,1,"Meme, TikTok and others"
