sentence,hate,category
নটির পুতেরে জুতা বাইরে,1,religion
কুত্তাকে গণধোলাই দেওয়া জানোয়ারটা যেই হাত দিয়ে মারছে হাতটা ভেঙ্গে দিন,1,"Meme, TikTok and others"
তোর বউয়ের ভোদ চোদ জাইয়া,1,religion
কুত্তার বাচ্চা কোথায় পাবো,1,religion
সালিকে জতাপিটা,1,crime
তুই মরার তরে চুদুম খাংকির পুলা,1,"Meme, TikTok and others"
ডিসি ইনজয় পাবলিক ধর্ষণ হায়রে বাংলাদেশ বঙ্গবন্ধুর সোনার বাংলাদেশ,0,crime
ভন্ড দের রাস্তায় জনগণের সামনে ফাসি দেয়া ইচিত। হারামির জাতেরা। ইসলামের নাম খারাপ,1,religion
রিমান্ডে নিয়া গরম ডিম পাছা দিয়া ডুকালে মিনিট লাগবে জাস্ট মিনিট,1,crime
দেখ lutfun nahar lata,0,celebrity
৩ ৪ বছর অভিজিত মিজানুর রহমান আসিফ মহিউদ্দিন পারভেজ আলমদের ব্লগ পড়ছি।আমি এক লাইনে সাম আপ দেই পরিপূর্ণ মুক্তমনা নয় ইসলাম বিদ্বেষী।ওদের ৯০ পারসেন্ট লেখা ইসলামের বিরুদ্ধে।তাহলে বাকি ধর্মগুলা কোথায় সেকুলারিজম ফ্রি থিংকিং ডেফিনেশন চাইলে শিখিয়ে দেব। আসলে নাস্তিকতা একটা মুখোশ। মানি জ্ঞানের চর্চা অনেক।তবে একটা কথা একজন ঘুমন্ত ব্যাক্তিকে জাগানো যায় জেগে ঘুমায় জাগানো যায়,0,celebrity
লোক দেখানো ভন্ডামি যেও কাউয়া মন্ত্রী,1,politics
দেশে জাজের ঠাটা পরছে দরনের জাজ বসাইছে কসাই চুইলাটা মনে হাপ পেটিস ফালতু,1,entertainment
এক বেশ্যার দেশে বসাবাস করতেছি আমরা।,1,crime
ফাসি চাই সালাগো,1,crime
আব্বাসী একজন রাম ছাগল।অল্প বিদ্যা ভয়ংকর।,1,religion
ছিঃ ছিঃ ছিঃ,0,crime
শালাদের জুতা মারা দরকার 👿👿👿,1,entertainment
আবাল ইউটিউবে পর্ন আসেকিন্তুু খুঁজে পায়নাতখন বিডিও পাইলেই ডিসলাইক দেও,1,sports
অপু আপা।।। একটু থামেন কথা আসতেছে মিথ্যা জোর আনছেন বাংলার ইতিহাসে প্রথম শেয়ারবাজার চোর আওয়ামীলীগ জানেননা,0,politics
জুতাদি পিটাও তাহেরিকে,1,religion
দেশ ভালোবাসবেদেশের কুলাঙ্গার রা চুদে দিবে,0,sports
নোয়াখালীর রত্ন,0,politics
